"date","USDPHP","BDO","ICT","SM","AAPL_PHP","MSFT_PHP","BTC_PHP","SPY_PHP"
2020-12-10,48.25,108.3,123.2,1050,5772.75545,9703.398275,881285.87365,16360.5521
2020-12-11,48.24,110.1,123.5,1068,5732.687232,9827.655408,871161.543432,16337.981088
2020-12-14,48.0168,113.5,125,1065,5676.79578336,9825.30325296,924162.2796276,16189.57957032
2020-12-15,48.14,114.5,121.2,1050,5976.446208,9847.292142,934738.048268,16450.54522
2020-12-16,47.888,115.4,123,1075,5941.9047296,10031.3388,1020521.9026576,16390.1181472
2020-12-17,47.9252,114.9,124,1094,5987.92784864,10045.53886924,1092941.95467492,16494.56944464
2020-12-18,48.09,112,124.3,1065,5913.281052,10041.956631,1112704.539681,16485.20391
2020-12-21,47.9559,109.9,124,1065,5969.88132771,10197.1987083,1093542.3200838,16380.45981306
2020-12-22,48.16,107.9,122,1075,6165.944064,10302.709872,1145390.691088,16422.449232
2020-12-23,48.23,106.8,123.8,1077,6131.827156,10183.151979,1120930.103111,16461.096743
2020-12-28,48.005,104.5,122,1050,6370.2635,10316.3273055,1300206.236843,16589.347077
2020-12-29,47.905,106.8,123.5,1049,6272.3501555,10257.7683065,1310797.5684375,16523.2057705
2021-01-04,48.08,105,126,1060,6040.4106,9998.529288,1537209.629928,16464.37096
2021-01-05,47.91,102.4,126,1050,6093.471678,9972.787497,1628577.306927,16519.147614
2021-01-06,48.1,99.9,121.6,1040,5911.70645,9752.72714,1771251.87473,16683.81208
2021-01-07,48.09,107,125.8,1034,6112.162056,10028.174037,1893353.45787,16928.165709
2021-01-08,48.165,109,125,1050,6174.5362575,10105.0121835,1965016.856751,17051.1758235
2021-01-11,47.9337,110.9,125.5,1050,6002.0182455,9958.94997387,1704841.42829394,16854.90296415
2021-01-12,48.008,111,126.5,1068,6002.9347224,9856.978556,1628573.5068872,16884.5912296
2021-01-13,48.07,111.5,124.3,1079,6108.221251,9934.458655,1793797.396358,16951.928763
2021-01-14,47.926,113,124.5,1077,5997.7999146,9752.6965774,1878091.8865206,16841.9584234
2021-01-15,48.005,112,126.8,1051,5925.199544,9751.802907,1767801.752436,16746.697866
2021-01-19,48.053,111,126.8,1072,5963.3100258,9935.534386,1733262.3252491,16895.0647919
2021-01-20,48.06,111,128.4,1067,6160.13856,10299.680928,1708424.865,17131.366674
2021-01-21,48.06,112,128.6,1067,6385.958082,10328.603436,1481483.103552,17146.99098
2021-01-22,48.056,111.1,128.5,1035,6488.064588,10372.7338208,1586124.8842552,17084.8739256
2021-01-25,47.9412,111.9,127.9,1038,6651.75041172,10511.90871804,1551683.70091512,17111.27378052
2021-01-26,48.09,108,127,1020,6683.601099,10673.166735,1566284.067264,17137.597659
2021-01-27,48.044,104.5,124,1029,6625.9065852,10689.1221884,1462101.2832636,16702.7560376
2021-01-28,48.125,103.8,122,1026,6404.8744375,10984.358,1610555.9518125,16874.80025
2021-01-29,48.1,100.7,118.5,985,6161.99961,10658.3828,1650618.20027,16528.38655
2021-02-01,48.046,104,119.1,1005,6256.766327,10999.3725732,1611327.1484868,16784.6442838
2021-02-02,48.08,105.3,119.5,1006,6300.864768,11000.723232,1707334.699928,17034.027608
2021-02-03,47.7876,105.2,123.4,1010,6213.83596428,11093.14585344,1790701.23852648,16943.74827012
2021-02-04,47.94,106.5,124,1033,6394.218024,11083.186278,1770235.623216,17190.97239
2021-02-05,48.085,109,123.6,1039,6393.689344,11125.436067,1834169.079031,17310.8356165
2021-02-08,47.905,111.1,124.5,1020,6376.739941,11096.1441305,2213041.646244,17370.5877345
2021-02-09,48.083,112.5,125.9,1056,6358.3612876,11197.08821,2234950.9957565,17423.5193622
2021-02-10,48.03,107.3,124.5,1078,6322.400232,11141.158875,2157420.358308,17396.734968
2021-02-11,48.041,107,125,1068,6311.7034456,11220.3502698,2301612.218612,17428.8184105
2021-02-16,47.955,109,122.4,1070,6209.951907,11164.0726605,2359379.8186005,17468.423985
2021-02-17,48.347,105.6,122,1060,6150.2508782,11304.398846,2521248.0801066,17615.2536235
2021-02-18,48.398,107.6,119.1,1036,6103.5637362,11297.3225092,2501198.8103662,17558.7847204
2021-02-19,48.556,108.5,120,1065,6131.04473,11203.0976668,2713704.1762368,17584.9972596
2021-02-22,48.3692,106,118.5,1034,5925.45917216,10860.820168,2621964.71705476,17382.6086962
2021-02-23,48.655,105,120,1060,5953.8490985,10867.2256185,2375552.437299,17506.55555
2021-02-24,48.667,103.2,122,1038,5931.1835576,10929.5521261,2419009.392444,17703.8330583
2021-02-26,49.05,105.5,119.9,1009,5782.813515,10913.649525,2272965.311385,17323.48881
